"","species","comm"
"1","Bacteroides fragilis","1_1_1"
"2","Bacteroides thetaiotaomicron","1_1_1"
"3","Bacteroides uniformis","1_1_1"
"4","Phocaeicola vulgatus","1_1_1"
"5","Parabacteroides distasonis","1_1_1"
"6","Bacteroides eggerthii","1_1_1"
"7","Bacteroides ovatus","1_1_1"
"8","Odoribacter splanchnicus","1_1_1"
"9","Sutterella wadsworthensis","1_1_1"
"10","Parabacteroides merdae","1_1_1"
"11","Bacteroides stercoris","1_1_1"
"12","Bacteroides caccae","1_1_1"
"13","Prevotella copri CAG:164","1_1_1"
"14","Bacteroides cellulosilyticus","1_1_1"
"15","Bacteroides salyersiae","1_1_1"
"16","Phocaeicola plebeius","1_1_1"
"17","Phocaeicola coprocola","1_1_1"
"18","Bacteroides intestinalis","1_1_1"
"19","Phocaeicola dorei","1_1_1"
"20","Bacteroides xylanisolvens","1_1_1"
"21","Phocaeicola coprophilus","1_1_1"
"22","Parabacteroides johnsonii","1_1_1"
"23","Paraprevotella xylaniphila","1_1_1"
"24","Bacteroides sp. 1_1_30","1_1_1"
"25","Bacteroides sp. 3_1_33FAA","1_1_1"
"26","Bacteroides sp. 4_1_36","1_1_1"
"27","Bacteroides sp. 4_3_47FAA","1_1_1"
"28","Bacteroides sp. 1_1_14","1_1_1"
"29","Bacteroides sp. 2_1_22","1_1_1"
"30","Bacteroides sp. 2_1_33B","1_1_1"
"31","Bacteroides sp. 2_2_4","1_1_1"
"32","Parabacteroides sp. 20_3","1_1_1"
"33","Bacteroides sp. 3_1_19","1_1_1"
"34","Bacteroides sp. 3_1_40A","1_1_1"
"35","Bacteroides sp. D1","1_1_1"
"36","Bacteroides sp. D2","1_1_1"
"37","Parabacteroides sp. D13","1_1_1"
"38","Bacteroides sp. D20","1_1_1"
"39","Bacteroides sp. D22","1_1_1"
"40","Bacteroides clarus","1_1_1"
"41","Bacteroides fluxus","1_1_1"
"42","Bacteroides oleiciplenus","1_1_1"
"43","Parabacteroides sp. D25","1_1_1"
"44","Bacteroides faecis CAG:32","1_1_1"
"45","Bacteroides faecichinchillae","1_1_1"
"46","Acetobacter sp. CAG:267","1_1_1"
"47","Alistipes sp. CAG:435","1_1_1"
"48","Alistipes sp. CAG:514","1_1_1"
"49","Bacteroides sp. CAG:1076","1_1_1"
"50","Bacteroides sp. CAG:189","1_1_1"
"51","Bacteroides sp. CAG:443","1_1_1"
"52","Bacteroides sp. CAG:462","1_1_1"
"53","Bacteroides sp. CAG:702","1_1_1"
"54","Bacteroides sp. CAG:875","1_1_1"
"55","Bacteroides sp. CAG:927","1_1_1"
"56","Bacteroides sp. CAG:98","1_1_1"
"57","Parabacteroides sp. CAG:2","1_1_1"
"58","Prevotella sp. CAG:1058","1_1_1"
"59","Prevotella sp. CAG:1124","1_1_1"
"60","Prevotella sp. CAG:1320","1_1_1"
"61","Prevotella sp. CAG:255","1_1_1"
"62","Prevotella sp. CAG:5226","1_1_1"
"63","Prevotella sp. CAG:924","1_1_1"
"64","Proteobacteria bacterium CAG:495","1_1_1"
"65","Bacteroides caecimuris","1_1_1"
"66","Prevotellamassilia timonensis","1_1_1"
"67","Parabacteroides sp. CT06","1_1_1"
"68","Bacteroides sp. A1C1","1_1_1"
"69","Micrococcus luteus","2_2_2"
"70","Streptococcus equinus","2_2_2"
"71","Streptococcus ferus","2_2_2"
"72","Propionibacterium freudenreichii","2_2_2"
"73","Microlunatus phosphovorus","2_2_2"
