"","species","comm"
"1","Bacteroides fragilis","2_2_1"
"2","Bacteroides thetaiotaomicron","2_2_1"
"3","Bacteroides uniformis","2_2_1"
"4","Phocaeicola vulgatus","2_2_1"
"5","Parabacteroides distasonis","2_2_1"
"6","Bacteroides eggerthii","2_2_1"
"7","Bacteroides ovatus","2_2_1"
"8","Prevotella denticola","2_2_1"
"9","Parabacteroides merdae","2_2_1"
"10","Bacteroides stercoris","2_2_1"
"11","Bacteroides caccae","2_2_1"
"12","Prevotella bryantii","2_2_1"
"13","Prevotella albensis","2_2_1"
"14","Prevotella copri CAG:164","2_2_1"
"15","Bacteroides cellulosilyticus","2_2_1"
"16","Phocaeicola plebeius","2_2_1"
"17","Phocaeicola coprocola","2_2_1"
"18","Bacteroides intestinalis","2_2_1"
"19","Bacteroides finegoldii","2_2_1"
"20","Phocaeicola dorei","2_2_1"
"21","Prevotella stercorea","2_2_1"
"22","Bacteroides xylanisolvens","2_2_1"
"23","Phocaeicola coprophilus","2_2_1"
"24","Parabacteroides johnsonii","2_2_1"
"25","Paraprevotella xylaniphila","2_2_1"
"26","Bacteroides sp. 1_1_30","2_2_1"
"27","Bacteroides sp. 3_1_23","2_2_1"
"28","Bacteroides sp. 3_1_33FAA","2_2_1"
"29","Bacteroides sp. 4_1_36","2_2_1"
"30","Bacteroides sp. 4_3_47FAA","2_2_1"
"31","Bacteroides sp. 1_1_14","2_2_1"
"32","Bacteroides sp. 2_1_22","2_2_1"
"33","Bacteroides sp. 2_2_4","2_2_1"
"34","Parabacteroides sp. 20_3","2_2_1"
"35","Bacteroides sp. 3_1_40A","2_2_1"
"36","Bacteroides sp. D1","2_2_1"
"37","Parabacteroides sp. D13","2_2_1"
"38","Bacteroides sp. D20","2_2_1"
"39","Bacteroides sp. D22","2_2_1"
"40","Bacteroides clarus","2_2_1"
"41","Bacteroides fluxus","2_2_1"
"42","Bacteroides faecichinchillae","2_2_1"
"43","Bacteroides sp. CAG:1076","2_2_1"
"44","Bacteroides sp. CAG:189","2_2_1"
"45","Bacteroides sp. CAG:443","2_2_1"
"46","Bacteroides sp. CAG:530","2_2_1"
"47","Bacteroides sp. CAG:598","2_2_1"
"48","Bacteroides sp. CAG:633","2_2_1"
"49","Bacteroides sp. CAG:702","2_2_1"
"50","Bacteroides sp. CAG:714","2_2_1"
"51","Bacteroides sp. CAG:754","2_2_1"
"52","Bacteroides sp. CAG:875","2_2_1"
"53","Bacteroides sp. CAG:927","2_2_1"
"54","Bacteroides sp. CAG:98","2_2_1"
"55","Parabacteroides sp. CAG:409","2_2_1"
"56","Prevotella sp. CAG:1092","2_2_1"
"57","Prevotella sp. CAG:1320","2_2_1"
