sample_id,replica,collection_date,complete_name,ph,temperature,country,city,plant
1015035,1,2020-07-23,DTU_2022_1015035_1_MG_IT_BO_200723_GSL_192,,,Italy,Bologna,Gruppo HERA
1014141,1,2020-04-23,DTU_2022_1014141_1_MG_NL_RO_200423_GSL_1067,,,Netherlands,Rotterdam,Dokhaven
1014178,1,2021-01-20,DTU_2022_1014178_1_MG_NL_RO_210120_GSL_1104,,,Netherlands,Rotterdam,Dokhaven
1014162,1,2020-09-23,DTU_2022_1014162_1_MG_NL_RO_200923_GSL_1088,,,Netherlands,Rotterdam,Dokhaven
1014149,1,2020-06-24,DTU_2022_1014149_1_MG_NL_RO_200624_GSL_1075,,,Netherlands,Rotterdam,Dokhaven
1014190,1,2021-04-22,DTU_2022_1014190_1_MG_NL_RO_210422_GSL_1116,,,Netherlands,Rotterdam,Dokhaven
1014200,1,2021-07-08,DTU_2022_1014200_1_MG_NL_RO_210708_GSL_1126,,,Netherlands,Rotterdam,Dokhaven
1014172,1,2020-12-02,DTU_2022_1014172_1_MG_NL_RO_201202_GSL_1098,,,Netherlands,Rotterdam,Dokhaven
1014180,1,2021-02-03,DTU_2022_1014180_1_MG_NL_RO_210203_GSL_1106,,,Netherlands,Rotterdam,Dokhaven
1014139,1,2020-04-08,DTU_2022_1014139_1_MG_NL_RO_200408_GSL_1065,,,Netherlands,Rotterdam,Dokhaven
1014196,1,2021-06-09,DTU_2022_1014196_1_MG_NL_RO_210609_GSL_1122,,,Netherlands,Rotterdam,Dokhaven
1014154,1,2020-07-24,DTU_2022_1014154_1_MG_NL_RO_200724_GSL_1080,,,Netherlands,Rotterdam,Dokhaven
1014145,1,2020-05-21,DTU_2022_1014145_1_MG_NL_RO_200521_GSL_1071,,,Netherlands,Rotterdam,Dokhaven
1014183,1,2021-02-25,DTU_2022_1014183_1_MG_NL_RO_210225_GSL_1109,,,Netherlands,Rotterdam,Dokhaven
1014146,1,2020-06-03,DTU_2022_1014146_1_MG_NL_RO_200603_GSL_1072,,,Netherlands,Rotterdam,Dokhaven
1014203,1,2021-07-28,DTU_2022_1014203_1_MG_NL_RO_210728_GSL_1129,,,Netherlands,Rotterdam,Dokhaven
1014184,1,2021-03-03,DTU_2022_1014184_1_MG_NL_RO_210303_GSL_1110,,,Netherlands,Rotterdam,Dokhaven
1014166,1,2020-10-23,DTU_2022_1014166_1_MG_NL_RO_201023_GSL_1092,,,Netherlands,Rotterdam,Dokhaven
1014151,1,2020-07-06,DTU_2022_1014151_1_MG_NL_RO_200706_GSL_1077,,,Netherlands,Rotterdam,Dokhaven
