"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-01","0.1",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-02","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-03","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-04","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-05","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-06","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-07","4.8",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-08","5.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-09","0.1",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-10","0.4",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-11","0.3",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-12","5.7",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-13","2.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-14","0.5",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-15","4.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-16","2.9",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-17","5.1",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-18","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-19","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-20","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-21","7.9",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-22","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-23","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-24","0.0",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-25","0.5",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-26","3.8",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-27","14.3",",,E",,,,,,
"SWE00137536","MALMO, SW","55.61","13.08","20.0","2019-01-28","0.0",",,E",,,,,,
